"","Title","Mileage","Price"
"1","2012",105621,"9355"
"2","2012",160463,"8999"
"3","2009",155580,"4988"
"4","2011",88887,"10990"
"5","2010",137252,"5987"
"6","2011",121372,"10249"
"7","2010",128894,"6999"
"8","2008",155952,"5999"
"9","2012",87819,"10995"
"10","2010",59411,"9999"
"11","2012",47239,"14998"
"12","2012",94607,"9900"
"13","2012",139870,"8999"
"14","2011",175524,"3990"
"15","2009",153163,"3790"
"16","2008",119286,"5995"
"17","2010",81709,"7950"
"18","2010",167155,"4400"
"19","2012",116044,"7790"
"20","2010",23039,"11497"
"21","2012",69189,"12590"
"22","2009",60848,"10999"
"23","2012",170032,"4595"
"24","2012",109706,"3677"
"25","2012",98135,"11990"
"26","2011",206813,"2982"
"27","2012",119913,"8888"
"28","2012",83520,"9990"
"29","2012",97991,"6900"
"30","2012",132952,"9500"
"31","2009",184279,"4500"
"32","2012",44139,"11991"
"33","2012",111419,"8994"
"34","2012",130323,"7550"
"35","2012",129696,"8296"
"36","20073",92388,"5995"
"37","2010",72367,"8746"
"38","2007",53142,"7950"
"39","2010",35915,"11995"
"40","2012",122019,"4900"
"41","2011",111847,"3999"
"42","2012",84660,"10570"
"43","2009",177415,"4520"
"44","2010",75137,"8200"
"45","2010",155216,"5800"
"46","2011",128857,"7452"
"47","2012",95375,"8990"
"48","2009",153122,"3999"
"49","2012",127150,"6500"
"50","2011",95298,"6900"
"51","2012",125034,"8500"
"52","2012",160024,"6500"
"53","2010",155415,"5991"
"54","2007",49825,"8900"
"55","2010",184112,"4800"
"56","2012",64669,"14998"
"57","2012",52240,"10867"
"58","2008",92252,"8999"
"59","2012",85908,"9866"
"60","2012",27038,"11088"
"61","2012",161425,"4995"
"62","2012",120843,"6895"
"63","2011",234704,"4700"
"64","2009",198825,"3980"
"65","2012",113868,"8200"
"66","2011",69128,"9984"
"67","2011",64137,"9494"
"68","2012",90593,"8997"
"69","2012",105108,"5995"
"70","2007",93884,"5200"
"71","2011",150802,"6165"
"72","2010",94353,"5900"
"73","2011",88503,"8988"
"74","2011",85870,"10000"
"75","2010",136738,"6250"
"76","2012",137232,"6700"
"77","2012",27447,"15998"
"78","2012",62002,"9498"
"79","2012",90484,"7474"
"80","2012",89704,"10909"
"81","2012",85306,"12990"
"82","2006",83595,"5990"
"83","2012",86030,"8490"
"84","2012",28032,"13991"
"85","2012",42890,"13590"
"86","2012",49143,"11495"
"87","2012",118000,"4700"
"88","2012",158856,"7995"
"89","2008",61391,"8650"
"90","2012",100707,"10995"
"91","2012",87078,"8749"
"92","2007",14000,"14000"
"93","2008",123647,"4995"
"94","2012",64685,"15998"
"95","2009",109664,"7888"
"96","2012",35862,"9999"
"97","2012",75093,"15998"
"98","2010",60828,"7979"
"99","2012",43374,"9991"
"100","2012",102414,"10398"
"101","2010",98299,"7950"
"102","2012",176939,"6116"
"103","2012",122145,"7990"
"104","2011",152300,"6987"
"105","2008",152879,"5998"
"106","2008",61852,"9450"
"107","2012",142000,"3995"
